po,style,total_qty_to_produce,estimated_fabrics_needed,requested_fabrics_qty,needed_qty
PO-2026-0078,ST-ZETA,13250,9500,9750,9850
PO-2026-0079,ST-ZETA,14250,10200,10450,10550
PO-2026-0080,ST-ZETA,6150,4400,4550,4600
PO-2026-0081,ST-TAU,10400,7450,7700,7800
PO-2026-0082,ST-TAU,11750,8500,8750,8850
PO-2026-0083,ST-TAU,8450,6050,6250,6300
PO-2026-0084,ST-TAU,15150,11000,11300,11450
PO-2026-0085,ST-TAU,9650,7100,7300,7400
PO-2026-0086,ST-TAU,11400,8250,8550,8650
PO-2026-0087,ST-TAU,7600,5450,5600,5650
PO-2026-0088,ST-TAU,13500,9700,9950,10050
PO-2026-0089,ST-TAU,14500,10500,10750,10850
PO-2026-0090,ST-TAU,6400,4550,4700,4750
PO-2026-0091,ST-PHI,10300,7400,7650,7750
PO-2026-0092,ST-PHI,11600,8400,8650,8750
PO-2026-0093,ST-PHI,8350,6000,6200,6250
PO-2026-0094,ST-PHI,15000,10900,11200,11350
PO-2026-0095,ST-PHI,9550,7050,7250,7350
PO-2026-0096,ST-PHI,11300,8200,8500,8600
PO-2026-0097,ST-PHI,7500,5400,5550,5600
PO-2026-0098,ST-PHI,13300,9650,9900,10000
PO-2026-0099,ST-PHI,14300,10350,10600,10700
PO-2026-0100,ST-PHI,6350,4500,4650,4700
PO-2026-0101,ST-CHI,10150,7300,7550,7650
PO-2026-0102,ST-CHI,11850,8600,8850,8950
PO-2026-0103,ST-CHI,8250,5950,6150,6200
PO-2026-0104,ST-CHI,15250,11050,11350,11500
PO-2026-0105,ST-CHI,9450,6950,7150,7250
PO-2026-0106,ST-CHI,11250,8150,8450,8550
PO-2026-0107,ST-CHI,7450,5350,5500,5550
PO-2026-0108,ST-CHI,13150,9450,9700,9800
PO-2026-0109,ST-CHI,14150,10150,10400,10500
PO-2026-0110,ST-CHI,6250,4450,4600,4650
PO-2026-0111,ST-ETA,9900,7100,7350,7450
PO-2026-0112,ST-ETA,12050,8750,9000,9100
PO-2026-0113,ST-ETA,8050,5800,6000,6070
PO-2026-0114,ST-ETA,14950,10800,11100,11250
PO-2026-0115,ST-ETA,9150,6650,6850,6950
PO-2026-0116,ST-ETA,10950,7950,8250,8350
PO-2026-0117,ST-ETA,7150,5100,5250,5300
PO-2026-0118,ST-ETA,12950,9350,9600,9700
PO-2026-0119,ST-ETA,13950,10100,10350,10450
PO-2026-0120,ST-ETA,6100,4350,4500,4550
